# hand_aliases.csv - the names a catalog row also answers to. Andy's reviewed decisions.
#
# ⚠️ THE ONLY WRITER into library_aliases, the same contract as hand_links.csv into
#    library_relations and hand_substitutions.csv into library_substitutions. An alias stored
#    only in the database is orphaned by the next load with nothing in the build to notice it.
#
# ⚠️ AN ALIAS ADDS A NAME TO AN EXISTING ROW. It never renames a canonical and never merges two
#    rows. A merge destroys an id, and mined_dish_ingredient and mined_pairings hold catalog ids,
#    so a merge orphans mined data that an alias leaves untouched. Merges are refused.
#
# ⚠️ THE ROWS HERE ARE REVIEWED, NOT HARVESTED. Class B's top 150 was ranked by corpus impact and
#    read one row at a time. 24 were refused and 10 sent for their own row. Bulk-loading the class
#    would have written 'whipping cream' onto the creme fraiche row, 22,004 recipes wrong.
#    See previews/alias-b-review.md and previews/alias-b-ranked.md.
#
# source     where the name came from: wikidata | off | authored | read
# confidence authored | read | high | picked
# note       Andy's comment from the review, verbatim, where he left one
library_id,alias,canonical_at_load,source,confidence,note
Q39086980,Aceto Balsamico Tradizionale di Modena,Aceto balsamico tradizionale di Modena PDO,wikidata,high,Class A review 2026-09-16
Q7302262,achiote paste,recado rojo,wikidata,high,
Q3748739,Amaretti,Amaretto macaron,wikidata,high,
Q2015681,amchur,amchoor,wikidata,high,
Q33873455,aniseed,anise seed,wikidata,high,
Q2745252,Anjou,D'Anjou,wikidata,high,
Q2745252,Anjou pear,D'Anjou,wikidata,high,
Q618345,apple sauce,applesauce,wikidata,high,
Q2703932,Arame,Eisenia bicyclis,wikidata,high,
Q23041430,artichoke,globe artichoke,wikidata,high,Class A review 2026-09-16
Q16530385,asafoetida,asafetida,wikidata,high,
Q100323254,atsuage,fried tofu,wikidata,high,
Q12533094,aubergine,eggplant,wikidata,high,
Q26883538,bacon strip,strip of bacon,wikidata,high,Class A review 2026-09-16
Q170037,balsamic,balsamic vinegar,wikidata,high,Class A review 2026-09-16
Q498862,Bartlett,Williams' bon chrétien,wikidata,high,
Q498862,Bartlett pear,Williams' bon chrétien,wikidata,high,
Q177378,bean curd,tofu,wikidata,high,
Q209974,bechamel sauce,béchamel,wikidata,high,
Q115166341,beet syrup,sugar beet syrup,wikidata,high,Class A review 2026-09-16
Q651829,besan,chickpea flour,wikidata,high,
Q578204,Black tiger shrimp,Penaeus monodon,wikidata,high,
Q11571934,boar meat,wild boar meat,wikidata,high,Class A review 2026-09-16
Q19952,bow-tie pasta,farfalle,wikidata,high,
Q1429013,butter cream,buttercream,wikidata,high,
Q550774,calamari,squid,wikidata,high,
Q419693,calcium lactate,calcium DL-lactate,wikidata,high,Class A review 2026-09-16
Q14625808,cardamon,cardamom,wikidata,high,
Q7885904,cashew,cashew nut,wikidata,high,Class A review 2026-09-16
Q178143,catsup,ketchup,wikidata,high,
Q2048275,cavolo nero,Brassica oleracea var. palmifolia,wikidata,high,
Q5493196,Celtic salt,sel gris,wikidata,high,
Q5493196,Celtic sea salt,sel gris,wikidata,high,
Q217525,cheddar,Cheddar cheese,wikidata,high,Class A review 2026-09-16
Q618322,cider vinegar,apple cider vinegar,wikidata,high,Class A review 2026-09-16
Q1031291,coffee cream,half-and-half,wikidata,high,
Q10286140,corn meal,cornmeal,wikidata,high,
Q3393961,corn starch,cornstarch,wikidata,high,
Q327115,cornflakes,corn flakes,wikidata,high,
Q1365891,cornichon,pickled cucumber,wikidata,high,
Q2718594,Cotija,Cotija cheese,wikidata,high,Class A review 2026-09-16
Q7533,courgette,zucchini,wikidata,high,
Q1211742,crawfish,crayfish,wikidata,high,
Q2735883,cuke,cucumber,wikidata,high,
Q28048050,daikon,Japanese radish,wikidata,high,
Q2296872,deer meat,venison,wikidata,high,
Q116767571,dehydrated onion,dehydrated onion flakes,wikidata,high,Class A review 2026-09-16
Q2048275,dinosaur kale,Brassica oleracea var. palmifolia,wikidata,high,
Q2046560,dipping sauce,dip,wikidata,high,
Q232755,dragon fruit,pitahaya,wikidata,high,
Q2291557,Dukkah,Duqqa,wikidata,high,
Q898835,Dutch cocoa,Dutch-process cocoa,wikidata,high,Class A review 2026-09-16
Q2412378,edible silver foil,vark,wikidata,high,
Q932214,Emmentaler,Emmental,wikidata,high,
Q98815027,epazote,epazote leaf,wikidata,high,Class A review 2026-09-16
Q14789810,EVOO,extra virgin olive oil,wikidata,high,
Q215210,fiber,dietary fiber,wikidata,high,Class A review 2026-09-16
Q3546960,fiddleheads,fiddlehead fern,wikidata,high,Class A review 2026-09-16
Q289005,filet,fillet,wikidata,high,
Q1866347,filo,phyllo,wikidata,high,
Q911332,flax seed,flaxseed,wikidata,high,
Q20048,fregola,fregula,wikidata,high,
Q29437,frosting,icing,wikidata,high,
Q11456979,fuyu persimmon,fuyū,wikidata,high,
Q48405301,giant shells,conchiglioni,wikidata,high,
Q685077,gomasio,gomashio,wikidata,high,
Q5493196,grey salt,sel gris,wikidata,high,
Q11413827,génoise,Génoise cake,wikidata,high,Class A review 2026-09-16
Q549793,haloumi,halloumi,wikidata,high,
Q58259,hollandaise,hollandaise sauce,wikidata,high,Class A review 2026-09-16
Q2964630,horseradish,horseradish root,wikidata,high,Class A review 2026-09-16
Q11352485,ichimi,Ichimi tougarashi,wikidata,high,Class A review 2026-09-16
Q2641090,ikura,red caviar,wikidata,high,
Q170219,Japanese rice wine,sake,wikidata,high,
Q28837710,Japanese soy sauce,shōyu,wikidata,high,
Q48405301,jumbo shells,conchiglioni,wikidata,high,
Q9017517,khoya,khoa,wikidata,high,
Q13194,kiwi,kiwifruit,wikidata,high,
Q13194,kiwi fruit,kiwifruit,wikidata,high,
Q5122903,kumquat,cumquat,wikidata,high,
Q2048275,lacinato kale,Brassica oleracea var. palmifolia,wikidata,high,
Q10426,lunch meat,cold cut,wikidata,high,
Q11027461,macadamia,macadamia nut,wikidata,high,Class A review 2026-09-16
Q3841977,maccheroncini,Maccheroncini di Campofilone PGI,wikidata,high,Class A review 2026-09-16
Q465554,mahlab,mahleb,wikidata,high,
Q167893,mayo,mayonnaise,wikidata,high,
Q13400960,mince,minced meat,wikidata,high,
Q1063736,mostaccioli,penne,wikidata,high,
Q14088,mozzarella,mozzarella cheese,wikidata,high,Class A review 2026-09-16
